NOME,LATITUDE,LONGITUDE,TIPO
Olheiro,-5.468229633930703,-35.554547588653705,Ponto
PitStop Bar,-5.466761896604491,-35.558334655790595,Ponto
Barbearia,-5.465590863646999,-35.558154223611815,Ponto
