NOME,LATITUDE,LONGITUDE,TIPO
Restaurante Universitário,-5.83282336547433,-35.20359782733084,Ponto
Midway Mall,-5.810857306873858,-35.206280036370636,Ponto
Detran RN-Sede,-5.824658239748561,-35.24280099437919,Ponto
Posto Senador,-5.822385230097532,-35.23002283025905,Posto
